법정동코드_변경후	법정동명_변경후	생성일자_변경후	삭제일자_변경후	법정동코드_변경전	법정동명_변경전	생성일자_변경전	삭제일자_변경전	변경내역
4815111400	경상남도 마산시 합포구 두월동3가	1997-05-12	2001-01-01	4815011500	경상남도 마산시 두월동3가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815011500 > 4815111400 | [법정동명 변경내역]: 두월동3가 > 합포구
4815111300	경상남도 마산시 합포구 두월동2가	1997-05-12	2001-01-01	4815011400	경상남도 마산시 두월동2가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815011400 > 4815111300 | [법정동명 변경내역]: 두월동2가 > 합포구
4815111200	경상남도 마산시 합포구 두월동1가	1997-05-12	2001-01-01	4815011300	경상남도 마산시 두월동1가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815011300 > 4815111200 | [법정동명 변경내역]: 두월동1가 > 합포구
4815111100	경상남도 마산시 합포구 동성동	1997-05-12	2001-01-01	4815011200	경상남도 마산시 동성동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815011200 > 4815111100 | [법정동명 변경내역]: 동성동 > 합포구
4815110900	경상남도 마산시 합포구 대창동	1997-05-12	2001-01-01	4815011000	경상남도 마산시 대창동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815011000 > 4815110900 | [법정동명 변경내역]: 대창동 > 합포구
4815110800	경상남도 마산시 합포구 대외동	1997-05-12	2001-01-01	4815010900	경상남도 마산시 대외동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815010900 > 4815110800 | [법정동명 변경내역]: 대외동 > 합포구
4815110300	경상남도 마산시 합포구 교원동	1997-05-12	2001-01-01	4815010300	경상남도 마산시 교원동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815010300 > 4815110300 | [법정동명 변경내역]: 교원동 > 합포구
4815110400	경상남도 마산시 합포구 남성동	1997-05-12	2001-01-01	4815010500	경상남도 마산시 남성동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815010500 > 4815110400 | [법정동명 변경내역]: 남성동 > 합포구
4815110200	경상남도 마산시 합포구 교방동	1997-05-12	2001-01-01	4815010200	경상남도 마산시 교방동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815010200 > 4815110200 | [법정동명 변경내역]: 교방동 > 합포구
4815115800	경상남도 마산시 합포구 해운동	1997-05-12	2001-01-01	4815016400	경상남도 마산시 해운동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815016400 > 4815115800 | [법정동명 변경내역]: 해운동 > 합포구
4815115700	경상남도 마산시 합포구 화영동	1997-05-12	2001-01-01	4815016300	경상남도 마산시 화영동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815016300 > 4815115700 | [법정동명 변경내역]: 화영동 > 합포구
4815110500	경상남도 마산시 합포구 대내동	1997-05-12	2001-01-01	4815010600	경상남도 마산시 대내동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815010600 > 4815110500 | [법정동명 변경내역]: 대내동 > 합포구
4815115600	경상남도 마산시 합포구 평화동	1997-05-12	2001-01-01	4815016100	경상남도 마산시 평화동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815016100 > 4815115600 | [법정동명 변경내역]: 평화동 > 합포구
4815115500	경상남도 마산시 합포구 추산동	1997-05-12	2001-01-01	4815016000	경상남도 마산시 추산동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815016000 > 4815115500 | [법정동명 변경내역]: 추산동 > 합포구
4815116000	경상남도 마산시 합포구 홍문동	1997-05-12	2001-01-01	4815016600	경상남도 마산시 홍문동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815016600 > 4815116000 | [법정동명 변경내역]: 홍문동 > 합포구
4815115300	경상남도 마산시 합포구 창포동3가	1997-05-12	2001-01-01	4815015800	경상남도 마산시 창포동3가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815015800 > 4815115300 | [법정동명 변경내역]: 창포동3가 > 합포구
4815111500	경상남도 마산시 합포구 문화동	1997-05-12	2001-01-01	4815011700	경상남도 마산시 문화동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815011700 > 4815111500 | [법정동명 변경내역]: 문화동 > 합포구
4815115400	경상남도 마산시 합포구 청계동	1997-05-12	2001-01-01	4815015900	경상남도 마산시 청계동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815015900 > 4815115400 | [법정동명 변경내역]: 청계동 > 합포구
4815113200	경상남도 마산시 합포구 월남동4가	1997-05-12	2001-01-01	4815013700	경상남도 마산시 월남동4가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815013700 > 4815113200 | [법정동명 변경내역]: 월남동4가 > 합포구
4815114600	경상남도 마산시 합포구 중성동	1997-05-12	2001-01-01	4815015100	경상남도 마산시 중성동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815015100 > 4815114600 | [법정동명 변경내역]: 중성동 > 합포구
4815114800	경상남도 마산시 합포구 중앙동2가	1997-05-12	2001-01-01	4815015300	경상남도 마산시 중앙동2가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815015300 > 4815114800 | [법정동명 변경내역]: 중앙동2가 > 합포구
4815112900	경상남도 마산시 합포구 월남동1가	1997-05-12	2001-01-01	4815013400	경상남도 마산시 월남동1가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815013400 > 4815112900 | [법정동명 변경내역]: 월남동1가 > 합포구
4815113000	경상남도 마산시 합포구 월남동2가	1997-05-12	2001-01-01	4815013500	경상남도 마산시 월남동2가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815013500 > 4815113000 | [법정동명 변경내역]: 월남동2가 > 합포구
4815113300	경상남도 마산시 합포구 월남동5가	1997-05-12	2001-01-01	4815013800	경상남도 마산시 월남동5가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815013800 > 4815113300 | [법정동명 변경내역]: 월남동5가 > 합포구
4815112800	경상남도 마산시 합포구 완월동	1997-05-12	2001-01-01	4815013200	경상남도 마산시 완월동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815013200 > 4815112800 | [법정동명 변경내역]: 완월동 > 합포구
4815113400	경상남도 마산시 합포구 월영동	1997-05-12	2001-01-01	4815013900	경상남도 마산시 월영동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815013900 > 4815113400 | [법정동명 변경내역]: 월영동 > 합포구
4815113900	경상남도 마산시 합포구 유록동	1997-05-12	2001-01-01	4815014700	경상남도 마산시 장군동2가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815014700 > 4815113900 | [법정동명 변경내역]: 장군동2가 > 합포구
4815113100	경상남도 마산시 합포구 월남동3가	1997-05-12	2001-01-01	4815013600	경상남도 마산시 월남동3가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815013600 > 4815113100 | [법정동명 변경내역]: 월남동3가 > 합포구
4815112600	경상남도 마산시 합포구 신포동2가	1997-05-12	2001-01-01	4815013000	경상남도 마산시 신포동2가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815013000 > 4815112600 | [법정동명 변경내역]: 신포동2가 > 합포구
4815112000	경상남도 마산시 합포구 서성동	1997-05-12	2001-01-01	4815012300	경상남도 마산시 서성동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815012300 > 4815112000 | [법정동명 변경내역]: 서성동 > 합포구
4815112400	경상남도 마산시 합포구 신창동	1997-05-12	2001-01-01	4815012800	경상남도 마산시 신창동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815012800 > 4815112400 | [법정동명 변경내역]: 신창동 > 합포구
4815115000	경상남도 마산시 합포구 창동	1997-05-12	2001-01-01	4815015500	경상남도 마산시 창동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815015500 > 4815115000 | [법정동명 변경내역]: 창동 > 합포구
4815112200	경상남도 마산시 합포구 수성동	1997-05-12	2001-01-01	4815012600	경상남도 마산시 수성동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815012600 > 4815112200 | [법정동명 변경내역]: 수성동 > 합포구
4815115100	경상남도 마산시 합포구 창포동1가	1997-05-12	2001-01-01	4815015600	경상남도 마산시 창포동1가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815015600 > 4815115100 | [법정동명 변경내역]: 창포동1가 > 합포구
4815310600	경상남도 마산시 회원구 합성동	1997-05-12	2001-01-01	4815016200	경상남도 마산시 합성동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815016200 > 4815310600 | [법정동명 변경내역]: 합성동 > 회원구
4815310400	경상남도 마산시 회원구 석전동	1997-05-12	2001-01-01	4815012400	경상남도 마산시 석전동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815012400 > 4815310400 | [법정동명 변경내역]: 석전동 > 회원구
4815310300	경상남도 마산시 회원구 봉암동	1997-05-12	2001-01-01	4815011900	경상남도 마산시 봉암동	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815011900 > 4815310300 | [법정동명 변경내역]: 봉암동 > 회원구
4815115200	경상남도 마산시 합포구 창포동2가	1997-05-12	2001-01-01	4815015700	경상남도 마산시 창포동2가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815015700 > 4815115200 | [법정동명 변경내역]: 창포동2가 > 합포구
4815112500	경상남도 마산시 합포구 신포동1가	1997-05-12	2001-01-01	4815012900	경상남도 마산시 신포동1가	1988-04-23	1990-06-30	[법정동코드 변경내역] 4815012900 > 4815112500 | [법정동명 변경내역]: 신포동1가 > 합포구
4186011076	경기도 안성군 안성읍 신소현리	1997-06-06	1998-04-01	4186035021	경기도 안성군 대덕면 소현리	1988-04-23	1998-04-01	[법정동코드 변경내역] 4186035021 > 4186011076 | [법정동명 변경내역]: 대덕면 소현리 > 안성읍 신소현리
4186011077	경기도 안성군 안성읍 신모산리	1997-06-06	1998-04-01	4186035023	경기도 안성군 대덕면 모산리	1988-04-23	1998-04-01	[법정동코드 변경내역] 4186035023 > 4186011077 | [법정동명 변경내역]: 대덕면 모산리 > 안성읍 신모산리
4186011075	경기도 안성군 안성읍 신건지리	1997-06-06	1998-04-01	4186035027	경기도 안성군 대덕면 건지리	1988-04-23	1998-04-01	[법정동코드 변경내역] 4186035027 > 4186011075 | [법정동명 변경내역]: 대덕면 건지리 > 안성읍 신건지리
4186011074	경기도 안성군 안성읍 가현리	1997-06-06	1998-04-01	4186031022	경기도 안성군 보개면 가현리	1988-04-23	1997-06-06	[법정동코드 변경내역] 4186031022 > 4186011074 | [법정동명 변경내역]: 보개면 > 안성읍
4186011073	경기도 안성군 안성읍 가사리	1997-06-06	1998-04-01	4186031037	경기도 안성군 보개면 가사리	1988-04-23	1997-06-06	[법정동코드 변경내역] 4186031037 > 4186011073 | [법정동명 변경내역]: 보개면 > 안성읍
3171040022	울산광역시 울주군 삼동면 조일리	1997-07-15		4813744022	경상남도 울산시 울주구 삼동면 조일리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813744022 > 3171040022 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼동면 > 울산광역시 울주군 삼동면 조일리
3171040024	울산광역시 울주군 삼동면 작동리	1997-07-15		4813744024	경상남도 울산시 울주구 삼동면 작동리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813744024 > 3171040024 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼동면 > 울산광역시 울주군 삼동면 작동리
3171040025	울산광역시 울주군 삼동면 보은리	1997-07-15		4813744025	경상남도 울산시 울주구 삼동면 보은리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813744025 > 3171040025 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼동면 > 울산광역시 울주군 삼동면 보은리
3171040026	울산광역시 울주군 삼동면 하잠리	1997-07-15		4813744026	경상남도 울산시 울주구 삼동면 하잠리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813744026 > 3171040026 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼동면 > 울산광역시 울주군 삼동면 하잠리
3171040027	울산광역시 울주군 삼동면 금곡리	1997-07-15		4813744027	경상남도 울산시 울주구 삼동면 금곡리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813744027 > 3171040027 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼동면 > 울산광역시 울주군 삼동면 금곡리
3171035000	울산광역시 울주군 범서면	1997-07-15	2001-03-01	4813738000	경상남도 울산시 울주구 범서면	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813738000 > 3171035000 | [법정동명 변경내역]: 경상남도 울산시 울주구 > 울산광역시 울주군 범서면
3171034029	울산광역시 울주군 웅촌면 대복리	1997-07-15		4813737029	경상남도 울산시 울주구 웅촌면 대복리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813737029 > 3171034029 | [법정동명 변경내역]: 경상남도 울산시 울주구 웅촌면 > 울산광역시 울주군 웅촌면 대복리
3171034028	울산광역시 울주군 웅촌면 통천리	1997-07-15		4813737028	경상남도 울산시 울주구 웅촌면 통천리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813737028 > 3171034028 | [법정동명 변경내역]: 경상남도 울산시 울주구 웅촌면 > 울산광역시 울주군 웅촌면 통천리
3171034027	울산광역시 울주군 웅촌면 대대리	1997-07-15		4813737027	경상남도 울산시 울주구 웅촌면 대대리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813737027 > 3171034027 | [법정동명 변경내역]: 경상남도 울산시 울주구 웅촌면 > 울산광역시 울주군 웅촌면 대대리
3111000000	울산광역시 중구	1997-07-15		4813000000	경상남도 울산시	1988-04-23	1997-07-15	[법정동코드 변경내역] 4813000000 > 3111000000 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 중구
3171025029	울산광역시 울주군 온산읍 방도리	1997-07-15		4813725329	경상남도 울산시 울주구 온산읍 방도리	1996-02-01	1997-07-15	[법정동코드 변경내역] 4813725329 > 3171025029 | [법정동명 변경내역]: 경상남도 울산시 울주구 온산읍 > 울산광역시 울주군 온산읍 방도리
3171035022	울산광역시 울주군 범서면 천상리	1997-07-15	2001-03-01	4813738022	경상남도 울산시 울주구 범서면 천상리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813738022 > 3171035022 | [법정동명 변경내역]: 경상남도 울산시 울주구 범서면 > 울산광역시 울주군 범서면 천상리
3171025027	울산광역시 울주군 온산읍 산암리	1997-07-15		4813725327	경상남도 울산시 울주구 온산읍 산암리	1996-02-01	1997-07-15	[법정동코드 변경내역] 4813725327 > 3171025027 | [법정동명 변경내역]: 경상남도 울산시 울주구 온산읍 > 울산광역시 울주군 온산읍 산암리
3111010400	울산광역시 중구 북정동	1997-07-15		4813000400	경상남도 울산시 북정동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813000400 > 3111010400 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 중구
3111010300	울산광역시 중구 복산동	1997-07-15		4813000300	경상남도 울산시 복산동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813000300 > 3111010300 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 중구
3111010200	울산광역시 중구 학산동	1997-07-15		4813000100	경상남도 울산시 학산동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813000100 > 3111010200 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 중구
3111010100	울산광역시 중구 학성동	1997-07-15		4813000200	경상남도 울산시 학성동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813000200 > 3111010100 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 중구
3171040023	울산광역시 울주군 삼동면 출강리	1997-07-15		4813744023	경상남도 울산시 울주구 삼동면 출강리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813744023 > 3171040023 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼동면 > 울산광역시 울주군 삼동면 출강리
3171032025	울산광역시 울주군 온양면 동상리	1997-07-15	2001-03-01	4813735025	경상남도 울산시 울주구 온양면 동상리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813735025 > 3171032025 | [법정동명 변경내역]: 경상남도 울산시 울주구 온양면 > 울산광역시 울주군 온양면 동상리
3171034023	울산광역시 울주군 웅촌면 곡천리	1997-07-15		4813737023	경상남도 울산시 울주구 웅촌면 곡천리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813737023 > 3171034023 | [법정동명 변경내역]: 경상남도 울산시 울주구 웅촌면 > 울산광역시 울주군 웅촌면 곡천리
3171040000	울산광역시 울주군 삼동면	1997-07-15		4813744000	경상남도 울산시 울주구 삼동면	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813744000 > 3171040000 | [법정동명 변경내역]: 경상남도 울산시 울주구 > 울산광역시 울주군 삼동면
3171033024	울산광역시 울주군 청량면 개곡리	1997-07-15	2018-04-02	4813736024	경상남도 울산시 울주구 청량면 개곡리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813736024 > 3171033024 | [법정동명 변경내역]: 경상남도 울산시 울주구 청량면 > 울산광역시 울주군 청량면 개곡리
3171033023	울산광역시 울주군 청량면 상남리	1997-07-15	2018-04-02	4813736023	경상남도 울산시 울주구 청량면 상남리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813736023 > 3171033023 | [법정동명 변경내역]: 경상남도 울산시 울주구 청량면 > 울산광역시 울주군 청량면 상남리
3171033022	울산광역시 울주군 청량면 동천리	1997-07-15	2018-04-02	4813736022	경상남도 울산시 울주구 청량면 동천리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813736022 > 3171033022 | [법정동명 변경내역]: 경상남도 울산시 울주구 청량면 > 울산광역시 울주군 청량면 동천리
3171033021	울산광역시 울주군 청량면 덕하리	1997-07-15	2018-04-02	4813736021	경상남도 울산시 울주구 청량면 덕하리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813736021 > 3171033021 | [법정동명 변경내역]: 경상남도 울산시 울주구 청량면 > 울산광역시 울주군 청량면 덕하리
3171033000	울산광역시 울주군 청량면	1997-07-15	2018-04-02	4813736000	경상남도 울산시 울주구 청량면	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813736000 > 3171033000 | [법정동명 변경내역]: 경상남도 울산시 울주구 > 울산광역시 울주군 청량면
3171032030	울산광역시 울주군 온양면 고산리	1997-07-15	2001-03-01	4813735030	경상남도 울산시 울주구 온양면 고산리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813735030 > 3171032030 | [법정동명 변경내역]: 경상남도 울산시 울주구 온양면 > 울산광역시 울주군 온양면 고산리
3171032029	울산광역시 울주군 온양면 운화리	1997-07-15	2001-03-01	4813735029	경상남도 울산시 울주구 온양면 운화리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813735029 > 3171032029 | [법정동명 변경내역]: 경상남도 울산시 울주구 온양면 > 울산광역시 울주군 온양면 운화리
3171025030	울산광역시 울주군 온산읍 이진리	1997-07-15		4813725330	경상남도 울산시 울주구 온산읍 이진리	1996-02-01	1997-07-15	[법정동코드 변경내역] 4813725330 > 3171025030 | [법정동명 변경내역]: 경상남도 울산시 울주구 온산읍 > 울산광역시 울주군 온산읍 이진리
3171032027	울산광역시 울주군 온양면 내광리	1997-07-15	2001-03-01	4813735027	경상남도 울산시 울주구 온양면 내광리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813735027 > 3171032027 | [법정동명 변경내역]: 경상남도 울산시 울주구 온양면 > 울산광역시 울주군 온양면 내광리
3120000000	울산광역시 북구	1997-07-15		4813000000	경상남도 울산시	1988-04-23	1997-07-15	[법정동코드 변경내역] 4813000000 > 3120000000 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 북구
3171034024	울산광역시 울주군 웅촌면 검단리	1997-07-15		4813737024	경상남도 울산시 울주구 웅촌면 검단리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813737024 > 3171034024 | [법정동명 변경내역]: 경상남도 울산시 울주구 웅촌면 > 울산광역시 울주군 웅촌면 검단리
3171034025	울산광역시 울주군 웅촌면 은현리	1997-07-15		4813737025	경상남도 울산시 울주구 웅촌면 은현리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813737025 > 3171034025 | [법정동명 변경내역]: 경상남도 울산시 울주구 웅촌면 > 울산광역시 울주군 웅촌면 은현리
3171034026	울산광역시 울주군 웅촌면 고연리	1997-07-15		4813737026	경상남도 울산시 울주구 웅촌면 고연리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813737026 > 3171034026 | [법정동명 변경내역]: 경상남도 울산시 울주구 웅촌면 > 울산광역시 울주군 웅촌면 고연리
3171039000	울산광역시 울주군 삼남면	1997-07-15	2020-10-30	4813743000	경상남도 울산시 울주구 삼남면	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813743000 > 3171039000 | [법정동명 변경내역]: 경상남도 울산시 울주구 > 울산광역시 울주군 삼남면
3171039021	울산광역시 울주군 삼남면 교동리	1997-07-15	2020-10-30	4813743021	경상남도 울산시 울주구 삼남면 교동리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813743021 > 3171039021 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼남면 > 울산광역시 울주군 삼남면 교동리
3171039022	울산광역시 울주군 삼남면 상천리	1997-07-15	2020-10-30	4813743022	경상남도 울산시 울주구 삼남면 상천리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813743022 > 3171039022 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼남면 > 울산광역시 울주군 삼남면 상천리
3171039023	울산광역시 울주군 삼남면 신화리	1997-07-15	2020-10-30	4813743023	경상남도 울산시 울주구 삼남면 신화리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813743023 > 3171039023 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼남면 > 울산광역시 울주군 삼남면 신화리
3171039024	울산광역시 울주군 삼남면 방기리	1997-07-15	2020-10-30	4813743024	경상남도 울산시 울주구 삼남면 방기리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813743024 > 3171039024 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼남면 > 울산광역시 울주군 삼남면 방기리
3171039025	울산광역시 울주군 삼남면 가천리	1997-07-15	2020-10-30	4813743025	경상남도 울산시 울주구 삼남면 가천리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813743025 > 3171039025 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼남면 > 울산광역시 울주군 삼남면 가천리
3171040021	울산광역시 울주군 삼동면 둔기리	1997-07-15		4813744021	경상남도 울산시 울주구 삼동면 둔기리	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813744021 > 3171040021 | [법정동명 변경내역]: 경상남도 울산시 울주구 삼동면 > 울산광역시 울주군 삼동면 둔기리
3171025028	울산광역시 울주군 온산읍 대정리	1997-07-15		4813725328	경상남도 울산시 울주구 온산읍 대정리	1996-02-01	1997-07-15	[법정동코드 변경내역] 4813725328 > 3171025028 | [법정동명 변경내역]: 경상남도 울산시 울주구 온산읍 > 울산광역시 울주군 온산읍 대정리
3114010200	울산광역시 남구 옥동	1997-07-15		4813001400	경상남도 울산시 옥동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813001400 > 3114010200 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 남구
3117010900	울산광역시 동구 염포동	1997-07-15	1998-03-01	4813004000	경상남도 울산시 염포동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813004000 > 3117010900 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 동구
3111011300	울산광역시 중구 동동	1997-07-15		4813004900	경상남도 울산시 동동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813004900 > 3111011300 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 중구
3111011200	울산광역시 중구 다운동	1997-07-15		4813001200	경상남도 울산시 다운동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813001200 > 3111011200 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 중구
3171025024	울산광역시 울주군 온산읍 우봉리	1997-07-15		4813725324	경상남도 울산시 울주구 온산읍 우봉리	1996-02-01	1997-07-15	[법정동코드 변경내역] 4813725324 > 3171025024 | [법정동명 변경내역]: 경상남도 울산시 울주구 온산읍 > 울산광역시 울주군 온산읍 우봉리
3171025023	울산광역시 울주군 온산읍 강양리	1997-07-15		4813725323	경상남도 울산시 울주구 온산읍 강양리	1996-02-01	1997-07-15	[법정동코드 변경내역] 4813725323 > 3171025023 | [법정동명 변경내역]: 경상남도 울산시 울주구 온산읍 > 울산광역시 울주군 온산읍 강양리
3171025022	울산광역시 울주군 온산읍 삼평리	1997-07-15		4813725322	경상남도 울산시 울주구 온산읍 삼평리	1996-02-01	1997-07-15	[법정동코드 변경내역] 4813725322 > 3171025022 | [법정동명 변경내역]: 경상남도 울산시 울주구 온산읍 > 울산광역시 울주군 온산읍 삼평리
3111010700	울산광역시 중구 교동	1997-07-15		4813000700	경상남도 울산시 교동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813000700 > 3111010700 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 중구
3171025000	울산광역시 울주군 온산읍	1997-07-15		4813725300	경상남도 울산시 울주구 온산읍	1996-02-01	1997-07-15	[법정동코드 변경내역] 4813725300 > 3171025000 | [법정동명 변경내역]: 경상남도 울산시 울주구 > 울산광역시 울주군 온산읍
3171000000	울산광역시 울주군	1997-07-15		4813700000	경상남도 울산시 울주구	1995-01-01	1997-07-15	[법정동코드 변경내역] 4813700000 > 3171000000 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 울주군
3111011400	울산광역시 중구 서동	1997-07-15		4813005000	경상남도 울산시 서동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813005000 > 3111011400 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 중구
3111011100	울산광역시 중구 태화동	1997-07-15		4813001100	경상남도 울산시 태화동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813001100 > 3111011100 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 중구
3171025021	울산광역시 울주군 온산읍 화산리	1997-07-15		4813725321	경상남도 울산시 울주구 온산읍 화산리	1996-02-01	1997-07-15	[법정동코드 변경내역] 4813725321 > 3171025021 | [법정동명 변경내역]: 경상남도 울산시 울주구 온산읍 > 울산광역시 울주군 온산읍 화산리
3120012600	울산광역시 북구 송정동	1997-07-15		4813004700	경상남도 울산시 송정동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813004700 > 3120012600 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 북구
3120012200	울산광역시 북구 연암동	1997-07-15		4813004500	경상남도 울산시 연암동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813004500 > 3120012200 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 북구
3120012300	울산광역시 북구 효문동	1997-07-15		4813004200	경상남도 울산시 효문동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813004200 > 3120012300 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 북구
3111010900	울산광역시 중구 성안동	1997-07-15		4813000900	경상남도 울산시 성안동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813000900 > 3111010900 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 중구
3120012500	울산광역시 북구 화봉동	1997-07-15		4813004600	경상남도 울산시 화봉동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813004600 > 3120012500 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 북구
3120012400	울산광역시 북구 양정동	1997-07-15		4813004100	경상남도 울산시 양정동	1988-04-23	1988-04-23	[법정동코드 변경내역] 4813004100 > 3120012400 | [법정동명 변경내역]: 경상남도 울산시 > 울산광역시 북구
